Annee,VoyTr
1842,6
1843,7
1844,8
1845,8
1846,10
1847,12
1848,11
1849,14
1850,18
1851,19
1853,24
1854,27
1855,32
1856,35
1857,41
1858,44
1859,51
1860,55
1861,61
1862,64
1863,69
1864,74
1865,80
1866,86
1867,100
1868,101
1869,109
1870,100
1872,110
1874,118
1875,127
1876,133
1877,134
1878,148
1879,146
1881,174
1882,89
1883,201
1884,206
1885,209
1886,211
1887,211
1888,217
1889,236
1890,234
1891,248
1892,279
1893,308
1894,326
1895,338
1896,352
1898,375
1899,390
1902,410
1903,413
1905,429
1906,445
1907,459
1908,464
1909,476
1910,492
1911,494
1912,509
1913,529
1914,355
1915,209
1916,325
1917,352
1918,377
1919,463
1920,500
1921,661
1922,720
1923,767
1924,772
1925,802
1926,777
1927,724
1928,745
1929,765
1930,790
1931,773
1932,705
1933,661
1934,622
1935,582
1936,577
1937,614
1938,540
1939,481
1940,347
1941,454
1942,579
1943,686
1944,433
1945,596
1946,696
1947,649
1948,645
1949,597
1951,549
1952,543
1954,500
1955,509
1956,526
1957,552
1958,553
1961,576
1962,579
1963,599
1964,608
1965,620
1966,628
1967,624
1968,579
1969,607
1970,613
1971,608
1972,626
1973,620
1974,642
1975,658
1976,655
1977,673
1979,688
1980,686
1981,698
1982,715
1983,736
1984,756
1985,777
1986,779
1987,782
1988,810
1989,825
1990,843
1991,837
1992,829
1993,823
1994,806
1995,741
1996,787
1997,807
1998,823
2000,846
2001,860
2002,887
2003,892
2004,931
2005,964
2007,1032
2008,1076
2009,1075
2010,1076
2011,1111
2012,1134
2013,1148
2014,1141
2015,1224
2016,1253
